Region|Country|IncomeGroup|IDA Status|Financial closure year|Financial closure Month|Project name|RelatedNames|Type of PPI|Subtype of PPI|Project status|Primary sector|Secondary sector|Subsector|Segment|Location|ContractPeriod|TerminationYear|PubliclyTraded|StockExchange|MultipleSystems|NumberOfSystems|CaptiveFacility|SharePercent|GovtGrantingContract|TypeOfGovtSupport|InvestmentYear|PercentPrivate|GovtPaymentCommitments|PhysicalAssets|TotalInvestment|CPI Adjusted Investment|GovCashAssist|dateStatusUpdated|CapacityType|Capacity|CapacityYear|Technology|ContractHistory|RelatedProjects|BidCriteria|AwardMethod|NumberOfBids|NumberRenewalBids|Sponsors|MultiLateralSupport|Revenue Source|RenewalBidCriteria|RenewalAwardMethod|DevelopmentStage|CommissioningDate|ProjectGrid|CarbonCredits|FundingYear|PrivateFunding|PublicFunding|GovtFunding|BankLocalFunding|DonorFunding|DebtEquityGrantRatio
Latin America and the Caribbean|Brazil|Upper middle income|Non-IDA|1999|July|Companhia de Geracao de Energia Eletrica Paranapanema|Paranapanema|Concession|Build, rehabilitate, operate, and transfer|Operational|Energy|N/A|Electricity|Electricity generation|State of Sao Paulo|20|2015|No|N/A|No||No||Federal||2004|95|0|12.7|12.7|15.4|||MW|2307|2004|Hydro, Large (>50MW)|||Highest price paid to government|Competitive bidding|Not Available|Not Applicable|Duke Energy Corp. (95% / United States)|||Not Applicable|Direct negotiat|Financial Closure|||No|||||||
Latin America and the Caribbean|Brazil|Upper middle income|Non-IDA|1999|July|Companhia de Geracao de Energia Eletrica Paranapanema|Paranapanema|Concession|Build, rehabilitate, operate, and transfer|Operational|Energy|N/A|Electricity|Electricity generation|State of Sao Paulo|20|2015|No|N/A|No||No||Federal||2008|95|Not Available|9.1|9.1|9.7|Not Available||MW|2307|2008|Hydro, Large (>50MW)|||Highest price paid to government|Competitive bidding|Not Available|Not Applicable|Duke Energy Corp. (95% / United States)|||Not Applicable|Direct negotiat|Financial Closure|||No|||||||
Latin America and the Caribbean|Brazil|Upper middle income|Non-IDA|1999|July|Companhia de Geracao de Energia Eletrica Paranapanema|Paranapanema|Concession|Build, rehabilitate, operate, and transfer|Operational|Energy|N/A|Electricity|Electricity generation|State of Sao Paulo|20|2015|No|N/A|No||No||Federal||2009|95|Not Available|7.6|7.6|8.1|Not Available||MW|2307|2009|Hydro, Large (>50MW)|||Highest price paid to government|Competitive bidding|Not Available|Not Applicable|Duke Energy Corp. (95% / United States)|||Not Applicable|Direct negotiat|Financial Closure|||No|||||||
Latin America and the Caribbean|Brazil|Upper middle income|Non-IDA|1999|July|Companhia de Geracao de Energia Eletrica Paranapanema|Paranapanema|Concession|Build, rehabilitate, operate, and transfer|Operational|Energy|N/A|Electricity|Electricity generation|State of Sao Paulo|20|2015|No|N/A|No||No||Federal||2010|95|Not Available|5.1|5.1|5.4|Not Available||MW|2307|2010|Hydro, Large (>50MW)|||Highest price paid to government|Competitive bidding|Not Available|Not Applicable|Duke Energy Corp. (95% / United States)|||Not Applicable|Direct negotiat|Financial Closure|||No|||||||
Latin America and the Caribbean|Brazil|Upper middle income|Non-IDA|1999|July|Companhia de Geracao de Energia Eletrica Paranapanema|Paranapanema|Concession|Build, rehabilitate, operate, and transfer|Operational|Energy|N/A|Electricity|Electricity generation|State of Sao Paulo|20|2015|No|N/A|No||No||Federal||2011|95|Not Available|9.6|9.6|9.8|Not Available||MW|2241|2011|Hydro, Large (>50MW)|||Highest price paid to government|Competitive bidding|Not Available|Not Applicable|Duke Energy Corp. (95% / United States)|||Not Applicable|Direct negotiat|Financial Closure|||No|||||||
Latin America and the Caribbean|Brazil|Upper middle income|Non-IDA|1999|July|Companhia de Geracao de Energia Eletrica Paranapanema|Paranapanema|Concession|Build, rehabilitate, operate, and transfer|Operational|Energy|N/A|Electricity|Electricity generation|State of Sao Paulo|20|2015|No|N/A|No||No||Federal||2012|95|Not Available|10.6|10.6|10.6|Not Available||MW|2241|2012|Hydro, Large (>50MW)|||Highest price paid to government|Competitive bidding|Not Available|Not Applicable|Duke Energy Corp. (95% / United States)|||Not Applicable|Direct negotiat|Financial Closure|||No|||||||
Latin America and the Caribbean|Brazil|Upper middle income|Non-IDA|1999|October|Companhia de Geracao de Energia Eletrica Tiete|CESP - Tiete, AES Tiete|Concession|Build, rehabilitate, operate, and transfer|Operational|Energy|N/A|Electricity|Electricity generation||35|2034|No|N/A|No||No||Federal||1999|61|486|0|486|670.0|||MW|2644|1999|Hydro, Large (>50MW)|||Highest price paid to government|Competitive bidding|Not Available|Not Applicable|AES Corporation (24% / United States)|||Not Applicable|Direct negotiat|Financial Closure|||No|||||||
Latin America and the Caribbean|Brazil|Upper middle income|Non-IDA|1999|October|Companhia de Geracao de Energia Eletrica Tiete|CESP - Tiete, AES Tiete|Concession|Build, rehabilitate, operate, and transfer|Operational|Energy|N/A|Electricity|Electricity generation||35|2034|No|N/A|No||No||Federal||2000|61|0|9.7|9.7|12.9|||MW||2000|Hydro, Large (>50MW)|||Highest price paid to government|Competitive bidding|Not Available|Not Applicable|AES Corporation (24% / United States)|||Not Applicable|Direct negotiat|Financial Closure|||No|||||||
Latin America and the Caribbean|Brazil|Upper middle income|Non-IDA|1999|October|Companhia de Geracao de Energia Eletrica Tiete|CESP - Tiete, AES Tiete|Concession|Build, rehabilitate, operate, and transfer|Operational|Energy|N/A|Electricity|Electricity generation||35|2034|No|N/A|No||No||Federal||2001|61|0|16.1|16.1|20.9|||MW||2001|Hydro, Large (>50MW)|||Highest price paid to government|Competitive bidding|Not Available|Not Applicable|AES Corporation (24% / United States)|||Not Applicable|Direct negotiat|Financial Closure|||No|||||||
Latin America and the Caribbean|Brazil|Upper middle income|Non-IDA|1999|October|Companhia de Geracao de Energia Eletrica Tiete|CESP - Tiete, AES Tiete|Concession|Build, rehabilitate, operate, and transfer|Operational|Energy|N/A|Electricity|Electricity generation||35|2034|No|N/A|No||No||Federal||2002|61|0|10.7|10.7|13.7|||MW||2002|Hydro, Large (>50MW)|||Highest price paid to government|Competitive bidding|Not Available|Not Applicable|AES Corporation (24% / United States)|||Not Applicable|Direct negotiat|Financial Closure|||No|||||||
Latin America and the Caribbean|Brazil|Upper middle income|Non-IDA|1999|October|Companhia de Geracao de Energia Eletrica Tiete|CESP - Tiete, AES Tiete|Concession|Build, rehabilitate, operate, and transfer|Operational|Energy|N/A|Electricity|Electricity generation||35|2034|No|N/A|No||No||Federal||2003|61|0|4.1|4.1|5.1|||MW||2003|Hydro, Large (>50MW)|||Highest price paid to government|Competitive bidding|Not Available|Not Applicable|AES Corporation (24% / United States)|||Not Applicable|Direct negotiat|Financial Closure|||No|||||||
Latin America and the Caribbean|Brazil|Upper middle income|Non-IDA|1999|October|Companhia de Geracao de Energia Eletrica Tiete|CESP - Tiete, AES Tiete|Concession|Build, rehabilitate, operate, and transfer|Operational|Energy|N/A|Electricity|Electricity generation||35|2034|No|N/A|No||No||Federal||2004|61|0|7.4|7.4|9.0|||MW||2004|Hydro, Large (>50MW)|||Highest price paid to government|Competitive bidding|Not Available|Not Applicable|AES Corporation (24% / United States)|||Not Applicable|Direct negotiat|Financial Closure|||No|||||||
Latin America and the Caribbean|Brazil|Upper middle income|Non-IDA|1999|October|Companhia de Geracao de Energia Eletrica Tiete|CESP - Tiete, AES Tiete|Concession|Build, rehabilitate, operate, and transfer|Operational|Energy|N/A|Electricity|Electricity generation||35|2034|No|N/A|No||No||Federal||2005|61|0|11.3|11.3|13.3|||MW||2005|Hydro, Large (>50MW)|||Highest price paid to government|Competitive bidding|Not Available|Not Applicable|AES Corporation (24% / United States)|||Not Applicable|Direct negotiat|Financial Closure|||No|||||||
Latin America and the Caribbean|Brazil|Upper middle income|Non-IDA|1999|October|Companhia de Geracao de Energia Eletrica Tiete|CESP - Tiete, AES Tiete|Concession|Build, rehabilitate, operate, and transfer|Operational|Energy|N/A|Electricity|Electricity generation||35|2034|No|N/A|No||No||Federal||2006|61|Not Available|21.7|21.7|24.7|Not Available||MW|Not Available|2006|Hydro, Large (>50MW)|||Highest price paid to government|Competitive bidding|Not Available|Not Applicable|AES Corporation (24% / United States)|||Not Applicable|Direct negotiat|Financial Closure|||No|||||||
Latin America and the Caribbean|Brazil|Upper middle income|Non-IDA|1999|October|Companhia de Geracao de Energia Eletrica Tiete|CESP - Tiete, AES Tiete|Concession|Build, rehabilitate, operate, and transfer|Operational|Energy|N/A|Electricity|Electricity generation||35|2034|No|N/A|No||No||Federal||2007|61|Not Available|26.3|26.3|29.1|Not Available||MW|Not Available|2007|Hydro, Large (>50MW)|||Highest price paid to government|Competitive bidding|Not Available|Not Applicable|AES Corporation (24% / United States)|||Not Applicable|Direct negotiat|Financial Closure|||No|||||||
Latin America and the Caribbean|Brazil|Upper middle income|Non-IDA|1999|October|Companhia de Geracao de Energia Eletrica Tiete|CESP - Tiete, AES Tiete|Concession|Build, rehabilitate, operate, and transfer|Operational|Energy|N/A|Electricity|Electricity generation||35|2034|No|N/A|No||No||Federal||2008|61|Not Available|32.2|32.2|34.3|Not Available||MW|2651|2008|Hydro, Large (>50MW)|||Highest price paid to government|Competitive bidding|Not Available|Not Applicable|AES Corporation (24% / United States)|||Not Applicable|Direct negotiat|Financial Closure|||No|||||||
Latin America and the Caribbean|Brazil|Upper middle income|Non-IDA|1999|October|Companhia de Geracao de Energia Eletrica Tiete|CESP - Tiete, AES Tiete|Concession|Build, rehabilitate, operate, and transfer|Operational|Energy|N/A|Electricity|Electricity generation||35|2034|No|N/A|No||No||Federal||2009|61|Not Available|22|22|23.6|Not Available||MW|2651|2009|Hydro, Large (>50MW)|||Highest price paid to government|Competitive bidding|Not Available|Not Applicable|AES Corporation (24% / United States)|||Not Applicable|Direct negotiat|Financial Closure|||No|||||||
Latin America and the Caribbean|Brazil|Upper middle income|Non-IDA|1999|October|Companhia de Geracao de Energia Eletrica Tiete|CESP - Tiete, AES Tiete|Concession|Build, rehabilitate, operate, and transfer|Operational|Energy|N/A|Electricity|Electricity generation||35|2034|No|N/A|No||No||Federal||2010|61|Not Available|46.3|46.3|48.8|Not Available||MW|2651|2010|Hydro, Large (>50MW)|||Highest price paid to government|Competitive bidding|Not Available|Not Applicable|AES Corporation (24% / United States)|||Not Applicable|Direct negotiat|Financial Closure|||No|||||||
Latin America and the Caribbean|Brazil|Upper middle income|Non-IDA|1999|October|Companhia de Geracao de Energia Eletrica Tiete|CESP - Tiete, AES Tiete|Concession|Build, rehabilitate, operate, and transfer|Operational|Energy|N/A|Electricity|Electricity generation||35|2034|No|N/A|No||No||Federal||2011|61|Not Available|107.2|107.2|109.5|Not Available||MW|2654|2011|Hydro, Large (>50MW)|||Highest price paid to government|Competitive bidding|Not Available|Not Applicable|AES Corporation (24% / United States)|||Not Applicable|Direct negotiat|Financial Closure|||No|||||||
Latin America and the Caribbean|Brazil|Upper middle income|Non-IDA|1999|October|Companhia de Geracao de Energia Eletrica Tiete|CESP - Tiete, AES Tiete|Concession|Build, rehabilitate, operate, and transfer|Operational|Energy|N/A|Electricity|Electricity generation||35|2034|No|N/A|No||No||Federal||2012|61|Not Available|71.2|71.2|71.2|Not Available||MW|2658|2012|Hydro, Large (>50MW)|||Highest price paid to government|Competitive bidding|Not Available|Not Applicable|AES Corporation (24% / United States)|||Not Applicable|Direct negotiat|Financial Closure|||No|||||||
Latin America and the Caribbean|Brazil|Upper middle income|Non-IDA|1999|September|Ita Energetica SA|Hidroelectrica de Ita|Greenfield project|Build, operate, and transfer|Operational|Energy|N/A|Electricity|Electricity generation|Uruguai River along the border between the states of Santa Catarina and Rio Grande do Sul|35|2034|No|N/A|No||No||..||1999|51|0|1000|1000|1378.5|||MW|1450|1999|Hydro, Large (>50MW)|||Not Applicable||Not Applicable|Not Applicable|SUEZ (69% / France), Companhia Siderurgica Nacional SA (30% / Brazil)|IADB (Syndication / $300 Million / 1997), IADB (Loan / $75 Million / 1997)||Not Applicable|Not Applicable|Financial Closure||||||||||
Latin America and the Caribbean|Brazil|Upper middle income|Non-IDA|2000|December|Cana Brava Hydroelectric Power Project|Companhia Energetica Meridional (CEM)|Greenfield project|Build, operate, and transfer|Operational|Energy|N/A|Electricity|Electricity generation|Minacu and Cavalcante (State of Goias)|35|2035|No|N/A|No||No||Federal||2000|100|0|426|426|568.2|||MW|450|2000|Hydro, Large (>50MW)|||Highest new investment|Competitive bidding|Not Available|Not Applicable|SUEZ (.. / France)|IADB (Syndication / $86 Million / 2000), IADB (Loan / $75 Million / 2000)||Not Applicable|Direct negotiat|Financial Closure||||||||||
Latin America and the Caribbean|Brazil|Upper middle income|Non-IDA|2000|February|Hidroeletrica de Manso||Greenfield project|Build, operate, and transfer|Operational|Energy|N/A|Electricity|Electricity generation|Cuiaba River, Mato Grosso|35|2035|No|N/A|No||No||Federal||2000|30|0|237.8|237.8|317.2|||MW|210|2000|Hydro, Large (>50MW)|||Not Available|Direct negotiation|Not Applicable|Not Applicable|Odebrecht SA (.. / Brazil), Servix Engenharia S.A. (.. / Brazil)|||Not Applicable|Direct negotiat|Financial Closure|||No|||||||
Latin America and the Caribbean|Brazil|Upper middle income|Non-IDA|2000|January|Itapebi power plant|Itapebi Geracao de Energia SA|Greenfield project|Build, operate, and transfer|Operational|Energy|N/A|Electricity|Electricity generation|Bahia State, Jequitinhonha River|35|2035|No|N/A|No|1|No||Federal||2000|100|8|278.9|286.9|382.6|||MW|450|2000|Hydro, Large (>50MW)|||Not Available|Competitive bidding|Not Available|Not Applicable|521 Participacoes (17% / Brazil), Iberdrola SA (39% / Spain), Previ (21% / Brazil)|||Not Applicable|Not Applicable|Financial Closure||||||||||
Latin America and the Caribbean|Brazil|Upper middle income|Non-IDA|2000|January|Itiquira Power Plant||Greenfield project|Build, operate, and transfer|Operational|Energy|N/A|Electricity|Electricity generation|Corrientes River, Itiquira (Mato Grosso)|30|2030|No|N/A|No||No||..||2000|100|0|105.3|105.3|140.4|||MW|156|2000|Hydro, Large (>50MW)|||Not Applicable||Not Applicable|Not Applicable|Brookfield Asset Management Inc (100% / Canada)|||Not Applicable|Not Applicable|Financial Closure|||No|||||||
Latin America and the Caribbean|Brazil|Upper middle income|Non-IDA|2000|January|Jauru Small Power Plant|PCH Alto Jauru, PCH Antonio Brennand|Greenfield project|Build, operate, and transfer|Operational|Energy|N/A|Electricity|Electricity generation|Jauru River, Araputanga (Mato Grosso State)|28|2027|No|N/A|No||No||Federal||2000|100|0|16.6|16.6|22.1|||MW|20|2000|Hydro, Small (<50MW)|||Not Applicable||Not Applicable|Not Applicable|Agroindustrial Araputanga (.. / Brazil)|||Not Applicable|Direct negotiat|Financial Closure||||||||||
Latin America and the Caribbean|Brazil|Upper middle income|Non-IDA|2000|January|Luis Eduardo Magalhaes Hydropower Plant|Lajeado Hydroelectric Power Plant;|Greenfield project|Build, operate, and transfer|Operational|Energy|N/A|Electricity|Electricity generation|Lajeados (Tocantins)|35|2032|No|N/A|No||No||Federal||2000|80|0|620.8|620.8|828.0|||MW|850|2000|Hydro, Large (>50MW)|||Not Available|Competitive bidding|Not Available|Not Applicable|Electricidade de Portugal SA (53% / Portugal), Small local investors (13% / ..)|||Not Applicable|Direct negotiat|Financial Closure|||No|||||||
Latin America and the Caribbean|Brazil|Upper middle income|Non-IDA|2000|January|Machadinho Power Plant||Greenfield project|Build, operate, and transfer|Operational|Energy|N/A|Electricity|Electricity generation|Uruguai River (border of Santa Catarina and Rio Grande do Sul)|35|2035|No|N/A|No||No||Federal||2000|82|0|514|514|685.5|||MW|1140|2000|Hydro, Large (>50MW)|||Not Available|Competitive bidding|Not Available|Not Applicable|Alcoa (.. / United States), Votorantim (.. / Brazil), Construcoes e Comercio Camargo Correa (.. / Brazil), Centrais Geradores do Sul do Brazil (Gerasul) (.. / Brazil)|||Not Applicable|Not Applicable|Financial Closure||||||||||
Latin America and the Caribbean|Brazil|Upper middle income|Non-IDA|2000|January|Porto Estrela Power Plant||Greenfield project|Build, operate, and transfer|Operational|Energy|N/A|Electricity|Electricity generation|Santo Antonio River (Minas Gerais State)|35|2029|No|N/A|No||No||Federal||2000|77|0|59|59|78.7|||MW|112|2000|Hydro, Large (>50MW)|||Not Available|Direct negotiation|Not Applicable|Not Applicable|Companhia Vale do Rio Doce SA (CVRD) (.. / Brazil), Coteminas (.. / ..)|||Not Applicable|Direct negotiat|Financial Closure||||||||||
Latin America and the Caribbean|Brazil|Upper middle income|Non-IDA|2001|September|Araputanga Centrais Eletricas SA (Arapucel)|Alto Jauru Power Plant, Indiavai Power Plant, and Ombreiras Power Plant|Greenfield project|Build, operate, and transfer|Operational|Energy|N/A|Electricity|Electricity generation|Mato Grosso State|||No|N/A|Yes|3|No||..||2001|100|0|62.5|62.5|81.0|||MW|63|2001|Hydro, Large (>50MW)|||Not Applicable||Not Applicable|Not Applicable|Klobtiz Ltda (20% / Brazil), Grupo Brennand (80% / Brazil)|||Not Applicable|Not Applicable|Financial Closure||||||||||
Latin America and the Caribbean|Brazil|Upper middle income|Non-IDA|2001|January|Barra Grande Power Plant|Energetica Barra Grande SA (Baesa), UHE Barra Grande|Greenfield project|Build, operate, and transfer|Operational|Energy|N/A|Electricity|Electricity generation|Pelotas River, Pinhal da Serra, in the border of the States of Rio Grande do Sul and Santa Catarina|35|2036|No|N/A|No|1|No||Federal||2001|91|118|407.3|525.3|681.2||1/1/05|MW|690|2001|Hydro, Large (>50MW)|||Not Available|Competitive bidding|Not Available|Not Applicable|CPFL Energia (25% / Brazil), Votorantim (15% / Brazil), Alcoa (43% / United States)|||Not Applicable|Not Applicable|Financial Closure|2005|||||||||
Latin America and the Caribbean|Brazil|Upper middle income|Non-IDA|2001|July|Bioenergia Cogeradora|UTE Sao Francisco, UTE Santo Antonio|Greenfield project|Build, own, and operate|Operational|Energy|N/A|Electricity|Electricity generation|State of Sao Paulo|35|2036|No|N/A|No||No||Federal||2001|100|Not Available|10.7|10.7|13.9|Not Available|1/1/07|MW|30|2001|Waste|||Not Applicable||Not Applicable|Not Applicable|Grupo Balbo (100% / Brazil)||Sales to wholesale market|Not Applicable|Direct negotiat|Financial Closure|2007|||||||||
Latin America and the Caribbean|Brazil|Upper middle income|Non-IDA|2001|July|Bioenergia Cogeradora|UTE Sao Francisco, UTE Santo Antonio|Greenfield project|Build, own, and operate|Operational|Energy|N/A|Electricity|Electricity generation|State of Sao Paulo|35|2036|No|N/A|No||No||Federal||2009|100|Not Available|31|31|33.2|Not Available|1/1/07|MW|46.3|2009|Waste|||Not Applicable||Not Applicable|Not Applicable|Grupo Balbo (100% / Brazil)||Sales to wholesale market|Not Applicable|Direct negotiat|Financial Closure|2007|||||||||
Latin America and the Caribbean|Brazil|Upper middle income|Non-IDA|2001|November|Cerradinho Group||Greenfield project|Build, own, and operate|Operational|Energy|N/A|Electricity|Electricity generation|States of Sao Paulo and Goias|35|2036|No|N/A|Yes|3|No||Federal||2001|100|Not Available|9.4|9.4|12.2|Not Available|12/1/02|MW|29|2001|Waste|||Not Applicable||Not Applicable|Not Applicable|Cerradinho Group (100% / Brazil)||Purchase agreements or transmission fees with public and private entities and sales to wholesale markets|Not Applicable|Not Applicable|Financial Closure|2002|||||||||
Latin America and the Caribbean|Brazil|Upper middle income|Non-IDA|2001|November|Cerradinho Group||Greenfield project|Build, own, and operate|Operational|Energy|N/A|Electricity|Electricity generation|States of Sao Paulo and Goias|35|2036|No|N/A|Yes|3|No||Federal||2005|100|Not Available|25.5|25.5|30.0|Not Available|12/1/02|MW|75|2005|Waste|||Not Applicable||Not Applicable|Not Applicable|Cerradinho Group (100% / Brazil)||Purchase agreements or transmission fees with public and private entities and sales to wholesale markets|Not Applicable|Not Applicable|Financial Closure|2002|||||||||
Latin America and the Caribbean|Brazil|Upper middle income|Non-IDA|2001|November|Cerradinho Group||Greenfield project|Build, own, and operate|Operational|Energy|N/A|Electricity|Electricity generation|States of Sao Paulo and Goias|35|2036|No|N/A|Yes|3|No||Federal||2009|100|Not Available|11|11|11.8|Not Available|12/1/02|MW|75|2009|Waste|||Not Applicable||Not Applicable|Not Applicable|Cerradinho Group (100% / Brazil)||Purchase agreements or transmission fees with public and private entities and sales to wholesale markets|Not Applicable|Not Applicable|Financial Closure|2002|||||||||
Latin America and the Caribbean|Brazil|Upper middle income|Non-IDA|2001|January|Dona Francisca Hydroelectric Power Project||Greenfield project|Build, operate, and transfer|Operational|Energy|N/A|Electricity|Electricity generation|Jucui River, Rio Grande do Sul|35|2033|No|N/A|No||No||Federal||2001|58|0|90|90|116.7|||MW|125|2001|Hydro, Large (>50MW)|||Not Available|Competitive bidding|Not Available|Not Applicable|Inepar (30% / Brazil), Gerdau (22% / ..)|IADB (Syndication / $25 Million / 2001), IADB (Loan / $16 Million / 2001), IADB (Loan / $.. Million / 2001)||Not Applicable|Direct negotiat|Financial Closure|||No|||||||
Latin America and the Caribbean|Brazil|Upper middle income|Non-IDA|2001|January|Foz do Chopim Small Hydro Power Plant|Usina Hidrelétrica Júlio de Mesquita Filho|Greenfield project|Build, operate, and transfer|Operational|Energy|N/A|Electricity|Electricity generation|State of Parana|30|2030|No|N/A|No||No||Federal||2001|64|Not Available|21.6|21.6|28.0|Not Available|12/1/01|MW|29.6|2001|Hydro, Small (<50MW)|||Not Applicable||Not Applicable|Not Applicable|SILEA Participacoes Ltda (64% / Brazil)||Purchase agreements or transmission fees with public entity(ies)|Not Applicable|Direct negotiat|Financial Closure|2001|||||||||
Latin America and the Caribbean|Brazil|Upper middle income|Non-IDA|2001|January|Ponte de Pedra Power Plant|Ponte de Pedra Energetica SA. UHE Ponte de Pedra|Greenfield project|Build, operate, and transfer|Operational|Energy|N/A|Electricity|Electricity generation|Corrente River, Sonora city, Mato Grsso do Sul state|35|2036|No|N/A|No|1|No||Federal||2001|100|223.4|158|381.4|494.6||9/1/05|MW|180|2001|Hydro, Large (>50MW)|||Not Available|Competitive bidding|Not Available|Not Applicable|SUEZ (100% / France)|||Not Applicable|Not Applicable|Financial Closure|2005|||||||||
Latin America and the Caribbean|Brazil|Upper middle income|Non-IDA|2001|March|Quebra-Queixo Power Plant|Companhia Energetica Chapeco (CEC), AHE Quebra-Queixo|Greenfield project|Build, operate, and transfer|Operational|Energy|N/A|Electricity|Electricity generation|Chapeco River, Ipuacu city, Santa Catarina state|35|2036|No|N/A|No|1|No||Federal||2001|100|28.6|102|130.6|169.4|||MW|120|2001|Hydro, Large (>50MW)|||Not Available|Competitive bidding|Not Available|Not Applicable|Construtora Queiroz Galvao (59% / Brazil), Construtora Barbosa Mello (41% / Brazil)|||Not Applicable|Not Applicable|Financial Closure||||||||||
Latin America and the Caribbean|Brazil|Upper middle income|Non-IDA|2001|December|Santelisa Vale Bioenergia||Greenfield project|Build, own, and operate|Merged|Energy|N/A|Electricity|Electricity generation|State of Sao Paulo|30|2031|No|N/A|Yes|2|No||Federal||2001|100|Not Available|18.7|18.7|24.2|Not Available|10/1/09|MW|73|2001|Waste|Merged|5571|Not Applicable||Not Applicable|Not Applicable|Louis Dreyfus SAS (60% / France), Santelisa Vale Bioenergia (40% / Brazil)||Purchase agreements or transmission fees with public and private entities and sales to wholesale markets|Not Applicable|Not Applicable|Financial Closure|||No|||||||
Latin America and the Caribbean|Brazil|Upper middle income|Non-IDA|2001|December|Santelisa Vale Bioenergia||Greenfield project|Build, own, and operate|Merged|Energy|N/A|Electricity|Electricity generation|State of Sao Paulo|30|2031|No|N/A|Yes|2|No||Federal||2005|100|Not Available|17.3|17.3|20.3|Not Available|10/1/09|MW|116|2005|Waste|Merged|5571|Not Applicable||Not Applicable|Not Applicable|Louis Dreyfus SAS (60% / France), Santelisa Vale Bioenergia (40% / Brazil)||Purchase agreements or transmission fees with public and private entities and sales to wholesale markets|Not Applicable|Not Applicable|Financial Closure|||No|||||||
Latin America and the Caribbean|Brazil|Upper middle income|Non-IDA|2002|December|Brennand Energia||Greenfield project|Build, operate, and transfer|Operational|Energy|N/A|Electricity|Electricity generation|States of Mato Grosso, Tocantins, Goais and Mato Grosso do Sul|30|2029|No|N/A|Yes|11|No||Federal||2002|100|Not Available|Not Available|0|0.0|Not Available||MW|22|2002|Hydro, Small (<50MW)|||Not Applicable||Not Applicable|Not Applicable|Grupo Brennand (100% / Brazil)||Purchase agreements or transmission fees with public and private entities and sales to wholesale markets|Not Applicable|Direct negotiat|Financial Closure|||No|||||||
Latin America and the Caribbean|Brazil|Upper middle income|Non-IDA|2002|December|Brennand Energia||Greenfield project|Build, operate, and transfer|Operational|Energy|N/A|Electricity|Electricity generation|States of Mato Grosso, Tocantins, Goais and Mato Grosso do Sul|30|2029|No|N/A|Yes|11|No||Federal||2007|100|Not Available|230|230|254.8|Not Available||MW|136|2007|Hydro, Small (<50MW)|||Not Applicable||Not Applicable|Not Applicable|Grupo Brennand (100% / Brazil)||Purchase agreements or transmission fees with public and private entities and sales to wholesale markets|Not Applicable|Direct negotiat|Financial Closure|||No|||||||
Latin America and the Caribbean|Brazil|Upper middle income|Non-IDA|2002|December|Brennand Energia||Greenfield project|Build, operate, and transfer|Operational|Energy|N/A|Electricity|Electricity generation|States of Mato Grosso, Tocantins, Goais and Mato Grosso do Sul|30|2029|No|N/A|Yes|11|No||Federal||2008|100|Not Available|50.3|50.3|53.7|Not Available||MW|160|2008|Hydro, Small (<50MW)|||Not Applicable||Not Applicable|Not Applicable|Grupo Brennand (100% / Brazil)||Purchase agreements or transmission fees with public and private entities and sales to wholesale markets|Not Applicable|Direct negotiat|Financial Closure|||No|||||||
Latin America and the Caribbean|Brazil|Upper middle income|Non-IDA|2002|December|Brennand Energia||Greenfield project|Build, operate, and transfer|Operational|Energy|N/A|Electricity|Electricity generation|States of Mato Grosso, Tocantins, Goais and Mato Grosso do Sul|30|2029|No|N/A|Yes|11|No||Federal||2009|100|Not Available|50|50|53.5|Not Available||MW|181|2009|Hydro, Small (<50MW)|||Not Applicable||Not Applicable|Not Applicable|Grupo Brennand (100% / Brazil)||Purchase agreements or transmission fees with public and private entities and sales to wholesale markets|Not Applicable|Direct negotiat|Financial Closure|||No|||||||
Latin America and the Caribbean|Brazil|Upper middle income|Non-IDA|2002|December|Brennand Energia||Greenfield project|Build, operate, and transfer|Operational|Energy|N/A|Electricity|Electricity generation|States of Mato Grosso, Tocantins, Goais and Mato Grosso do Sul|30|2029|No|N/A|Yes|11|No||Federal||2011|100|Not Available|25|25|25.5|Not Available||MW|207|2011|Hydro, Small (<50MW)|||Not Applicable||Not Applicable|Not Applicable|Grupo Brennand (100% / Brazil)||Purchase agreements or transmission fees with public and private entities and sales to wholesale markets|Not Applicable|Direct negotiat|Financial Closure|||No|||||||
Latin America and the Caribbean|Brazil|Upper middle income|Non-IDA|2002|October|Fundao-Santa Clara Hydroelectric Complex|Fundao and Santa Clara Power Plants; Rio Jordao Hydroeletrica Power Project|Greenfield project|Build, operate, and transfer|Operational|Energy|N/A|Electricity|Electricity generation|Parana State|35|2036|No|N/A|Yes|2|No||Federal||2002|30|0|155|155|197.9||7/1/05|MW|238|2002|Hydro, Large (>50MW)|||Highest price paid to government|Competitive bidding|Not Available|Not Applicable|Paineira Participacoes (15% / Brazil)|||Not Applicable|Direct negotiat|Financial Closure|2005|||||||||
Latin America and the Caribbean|Brazil|Upper middle income|Non-IDA|2002|December|Funil Power Plant||Greenfield project|Build, own, and operate|Operational|Energy|N/A|Electricity|Electricity generation|Minas Gerais State|35|2035|No|N/A|No|1|No||Federal||2002|72|0|50.7|50.7|64.7|||MW|180|2002|Hydro, Large (>50MW)|||Not Applicable||Not Applicable|Not Applicable|Companhia Energetica de Minas Gerais (CEMIG) (49% / Brazil), Companhia Vale do Rio Doce SA (CVRD) (51% / Brazil)|||Not Applicable|Not Applicable|Financial Closure||||||||||
